cheapest,most_expensive,product_category_name_english
3.06,6735,housewares
34.5,6729,computers
3.5,6499,art
6.5,4799,small_appliances
4.9,4399.87,musical_instruments
5.18,4099.99,consoles_games
4.5,4059,sports_leisure
8.99,3999.9,watches_gifts
3,3980,others
6.35,3930,garden_tools
3.54,3899,baby
3.9,3699.99,computers_accessories
1.2,3124,health_beauty
7,3109.99,cool_stuff
8.9,3099.9,construction_tools_safety
27.9,3089,industry_commerce_and_business
12.99,2990,agro_industry_and_commerce
10.19,2899,small_appliances_home_oven_and_coffee
2.9,2498,pet_shop
3.99,2470.5,electronics
5,2428,telephony
13.9,2350,home_appliances_2
0.85,2300,construction_tools_construction
3.49,2258,auto
6.19,2090,home_appliances
6.99,1999.98,bed_bath_table
9.99,1964,market_place
6.8,1899,costruction_tools_tools
4.9,1899,furniture_decor
6,1790,fixed_telephony
6,1699.99,fashion_bags_accessories
4.9,1699.99,toys
2.29,1693,stationery
10.9,1599,air_conditioning
8.9,1420,dvds_blu_ray
8.82,1349.9,costruction_tools_garden
9.6,1320,kitchen_dining_laundry_garden_furniture
12.51,1290,construction_tools_lights
13.33,1197.9,luggage_accessories
25,1189.9,office_furniture
3.85,1165.97,music
17.42,1099,portable_kitchen_food_processors
8.97,1097.99,home_construction
6,899.9,books_general_interest
14.9,889.99,tablets_printing_image
6.8,873.99,cine_photo
13.9,839.99,furniture_living_room
6.99,799,home_confort
18.99,749,books_imported
4.5,740,signaling_and_security
6.5,699.9,food_drink
4.99,689.9,perfumery
6.9,650,furniture_bedroom
6,623,drinks
14.9,598.99,audio
7.99,571.2,party_supplies
44.7,399.99,furniture_mattress_and_upholstery
24,389,la_cuisine
9.95,384.93,books_technical
25.9,365,fashion_shoes
5.5,295,christmas_supplies
14.9,292.5,fashion_male_clothing
9.8,289.49,arts_and_craftmanship
9.99,274.99,food
129.99,239,pc_gamer
24.99,225,fashion_sport
12.9,219.99,home_comfort_2
19.9,198.9,fashio_female_clothing
3.9,192,fashion_underwear_beach
100,183.29,security_and_services
25,139.89,diapers_and_hygiene
39.99,110,fashion_childrens_clothes
15.6,65.9,flowers
45,65,cds_dvds_musicals
